"Date","R","Home v Away","-"
"05/29 17:00","-","PARIVISION v Partizan","1-1"
"05/29 14:30","-","NAVI Junior v Sangal","1-0"
"05/29 11:00","-","Apogee v Fire Flux","2-0"
"05/29 08:00","-","Iberian Soul v TNL","1-1"
"05/28 14:00","-","Astrum v Monte","2-1"
"05/28 11:00","-","Partizan v Zero Tenacity","2-1"
"05/27 14:00","-","Fire Flux v Zero Tenacity","2-1"
"05/27 11:00","-","Nexus v Ninjas in Pyjamas","1-2"
"05/26 17:00","-","Partizan v Delta","2-1"
"05/26 14:00","-","ECLOT v Monte","1-2"
"05/26 11:45","-","Astrum v Sashi","2-1"
"05/25 17:00","-","CYBERSHOKE v Nexus","2-1"
"05/25 14:00","-","Fire Flux v Monte","2-0"
"05/25 11:00","-","Partizan v Sangal","1-2"
"05/25 08:00","-","Ninjas in Pyjamas v Sashi","2-0"
"05/24 14:00","-","Astrum v Zero Tenacity","0-2"
"05/24 11:00","-","ECLOT v CPH Wolves","2-0"
"05/24 08:00","-","SABRE v Delta","1-2"
"05/23 17:00","-","CYBERSHOKE v Ninjas in Pyjamas","0-1"
"05/23 14:00","-","Nexus v Monte","2-0"
"05/23 11:00","-","Partizan v TNL","0-2"
"05/22 17:00","-","Delta v Zero Tenacity","0-2"
"05/22 14:00","-","Fire Flux v SABRE","2-0"
"05/22 11:00","-","ECLOT v Sangal","1-1"
"05/22 08:00","-","Astrum v CPH Wolves","2-0"
"05/21 17:00","-","ECLOT v Ninjas in Pyjamas","0-2"
"05/21 14:00","-","Monte v Delta","2-0"
"05/21 08:00","-","Nexus v Zero Tenacity","2-0"
"05/20 17:00","-","CYBERSHOKE v Sangal","2-1"
"05/20 14:00","-","Partizan v CPH Wolves","2-0"
